rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
1,pebble,0.53 +/- 0.02,0.63 +/- 0.03,0.81 +/- 0.02,0.64 +/- 0.02,2025-12-01 20:39:35+00:00,
2,UncertainTea,0.56 +/- 0.02,0.61 +/- 0.03,0.79 +/- 0.02,0.61 +/- 0.02,2025-11-30 14:49:12+00:00,
3,moka,0.56 +/- 0.02,0.61 +/- 0.03,0.82 +/- 0.02,0.64 +/- 0.02,2025-12-03 13:53:31+00:00,
4,polonium-210+,0.56 +/- 0.02,0.59 +/- 0.03,0.79 +/- 0.02,0.61 +/- 0.02,2025-12-05 08:21:56+00:00,
5,overfit,0.57 +/- 0.02,0.59 +/- 0.03,0.78 +/- 0.02,0.60 +/- 0.02,2025-12-03 19:34:12+00:00,
6,Artichoke,0.57 +/- 0.02,0.59 +/- 0.03,0.78 +/- 0.02,0.60 +/- 0.02,2025-12-01 18:25:01+00:00,
7,campfire-capillary,0.57 +/- 0.02,0.58 +/- 0.03,0.76 +/- 0.02,0.58 +/- 0.02,2025-12-01 11:46:04+00:00,
8,chiliflake,0.58 +/- 0.02,0.59 +/- 0.03,0.78 +/- 0.02,0.60 +/- 0.02,2025-11-13 00:36:29+00:00,
9,bl,0.58 +/- 0.02,0.58 +/- 0.03,0.78 +/- 0.02,0.60 +/- 0.02,2025-12-01 15:39:43+00:00,
10,shum,0.58 +/- 0.02,0.54 +/- 0.04,0.78 +/- 0.02,0.60 +/- 0.02,2025-12-04 16:06:17+00:00,
11,rced_nvx,0.58 +/- 0.02,0.57 +/- 0.03,0.75 +/- 0.02,0.58 +/- 0.02,2025-12-01 21:34:50+00:00,https://doi.org/10.1021/acs.jcim.5c01982
12,expansion,0.59 +/- 0.02,0.54 +/- 0.04,0.77 +/- 0.02,0.60 +/- 0.02,2025-12-05 15:59:24+00:00,
13,misunderstood,0.60 +/- 0.02,0.54 +/- 0.03,0.77 +/- 0.02,0.59 +/- 0.02,2025-12-04 16:39:31+00:00,
14,mechaman,0.60 +/- 0.03,0.52 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-01 23:48:17+00:00,
15,trial,0.60 +/- 0.03,0.52 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-01 23:51:59+00:00,
16,adam3*,0.60 +/- 0.03,0.53 +/- 0.04,0.77 +/- 0.02,0.59 +/- 0.02,2025-11-14 06:27:54+00:00,
17,Universal1,0.61 +/- 0.02,0.52 +/- 0.03,0.74 +/- 0.02,0.56 +/- 0.02,2025-11-15 15:42:19+00:00,https://ensemble baseline model
18,Mlzzzzz,0.62 +/- 0.03,0.50 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-11-14 18:47:32+00:00,
19,rappleton,0.62 +/- 0.02,0.52 +/- 0.03,0.76 +/- 0.02,0.59 +/- 0.02,2025-11-26 14:45:57+00:00,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
20,ADMuppET,0.62 +/- 0.03,0.51 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2025-12-02 18:54:11+00:00,
21,jeremy,0.62 +/- 0.03,0.49 +/- 0.04,0.69 +/- 0.03,0.52 +/- 0.02,2025-11-20 19:48:44+00:00,https://github.com/jeremycheminf/openadmet_scripts/tree/main
22,jared,0.62 +/- 0.03,0.50 +/- 0.04,0.72 +/- 0.02,0.55 +/- 0.02,2025-12-03 20:34:25+00:00,
